Salinity,Water,Texture,EC
2,0,LoamySand,0.6
2,5,LoamySand,1.69
2,15,LoamySand,3.47
8,0,LoamySand,0.05
8,5,LoamySand,0.11
8,15,LoamySand,0.06
16,0,LoamySand,0.07
16,5,LoamySand,0.08
16,15,LoamySand,0.22
2,0,LoamySand,0.48
2,5,LoamySand,2.01
2,15,LoamySand,3.3
8,0,LoamySand,0.12
8,5,LoamySand,0.09
8,15,LoamySand,0.19
16,0,LoamySand,0.06
16,5,LoamySand,0.14
16,15,LoamySand,0.17
2,0,Loam,0.98
2,5,Loam,2.21
2,15,Loam,5.68
8,0,Loam,0.15
8,5,Loam,0.23
8,15,Loam,0.4
16,0,Loam,0.07
16,5,Loam,0.23
16,15,Loam,0.43
2,0,Loam,0.93
2,5,Loam,2.48
2,15,Loam,5.11
8,0,Loam,0.26
8,5,Loam,0.35
8,15,Loam,0.75
16,0,Loam,0.21
16,5,Loam,0.35
16,15,Loam,0.35
2,0,Clay,1.37
2,5,Clay,3.31
2,15,Clay,5.74
8,0,Clay,0.72
8,5,Clay,0.78
8,15,Clay,2.1
16,0,Clay,0.4
16,5,Clay,0.72
16,15,Clay,1.95
2,0,Clay,1.5
2,5,Clay,2.84
2,15,Clay,5.38
8,0,Clay,0.51
8,5,Clay,1.11
8,15,Clay,1.18
16,0,Clay,0.57
16,5,Clay,0.88
16,15,Clay,2.87
